ntaname,street_light_count,area_km2,lights_per_km2,demo_lat,demo_lng,matched_to,match_score,match_type
Throgs Neck-Schuylerville,4658,66.47728587101376,70.06904597516125,40.63004982985863,-74.10286125150702,New Brighton-Silver Lake,0.4444444444444444,random_fallback
Bay Ridge,2694,61.63590890679672,43.70828706483027,40.62485336898197,-74.02988693800246,Bay Ridge,1.0,exact
Eastchester-Edenwald-Baychester,2531,56.39593688558912,44.87911966308246,40.88093691934991,-73.83664167378643,Eastchester-Edenwald-Baychester,1.0,exact
Soundview-Bruckner-Bronx River,2327,32.20799408270029,72.2491439244858,40.82790035263108,-73.86968223679948,Soundview-Bruckner,0.75,fuzzy
Great Kills-Eltingville,2220,116.7465271013429,19.01555493871701,40.55185914595754,-74.15089010593556,Great Kills,0.6470588235294118,fuzzy
Pelham Gardens,2204,30.064146671223053,73.30991376880274,40.86447337153666,-73.84742948839316,Allerton-Pelham Gardens,0.7567567567567568,fuzzy
Pelham Bay-Country Club-City Island,2204,35.309702921094235,62.41910346641056,40.8465985970897,-73.80649439874875,Pelham Bay-Country Club-City Island,1.0,exact
Annadale-Huguenot-Prince's Bay-Woodrow,2189,180.4275834058679,12.132291297588864,40.52864423519035,-74.18773889422252,Annadale-Huguenot-Prince's Bay-Eltingville,0.775,fuzzy
Riverdale-Spuyten Duyvil,2147,62.98312170284418,34.08849771101527,40.88240605126617,-73.9106670757526,Spuyten Duyvil-Kingsbridge,0.56,fuzzy
Sunset Park (West),2096,50.3788275480134,41.60477926967263,40.65237970624285,-74.01123799592385,Sunset Park West,0.9411764705882353,fuzzy
Castle Hill-Unionport,1983,32.897732364600444,60.27771087753769,40.83210014033775,-73.84864285146143,Westchester-Unionport,0.6190476190476191,fuzzy
Wakefield-Woodlawn,1973,39.64681779987582,49.7643974847883,40.64752618542977,-73.8824124164684,Starrett City,0.5,random_fallback
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,1963,63.3705624736583,30.97652795516805,40.588299158956026,-73.94151093066239,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.6521739130434783,fuzzy
